	0	1	2	3	4	5	6	7	8	9
graduates	0.0	0.0037024287	0.0	0.0	0.0	0.019453222	0.0	0.0	0.0	0.0
top	0.0	0.0036943036	0.0	0.0	0.0029955078	0.0	0.0	0.0	0.0	0.0
undergraduate	0.0	0.003479599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
school	0.0	0.0033986662	0.0	0.0	0.0	0.0	0.0	0.0053886124	0.0	0.0
university	0.0	0.0033734855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
secondary	0.0	0.003293531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
exchange	0.0	0.0032526345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
schools	0.0	0.0031807262	0.0	0.0	0.0	0.0	0.0	0.004689114	0.0	0.0
different	0.0	0.003168906	0.0038919605	0.0	0.0	0.0	0.0033992967	0.0	0.0	0.0
activities	0.0	0.0031521688	0.0036928712	0.0	0.0	0.0	0.0	0.00284873	0.0	0.0
opportunities	0.0	0.0030763461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
offered	0.0	0.0030352038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fashion	0.0	0.0030134413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
knowledge	0.0	0.0029382498	0.0	0.0	0.003275868	0.0	0.0	0.0029288619	0.0	0.0
local	0.0	0.0028888234	0.004338695	0.0	0.0	0.0	0.0	0.0	0.0	0.0
event	0.0	0.002842299	0.007390785	0.0	0.0	0.0	0.0	0.0	0.0	0.0
courses	0.0	0.0028340714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
information	0.0	0.0028151348	0.0	0.004282597	0.00398456	0.0	0.0	0.0	0.0	0.0
studies	0.0	0.002769396	0.0	0.0	0.0	0.0036007133	0.0	0.0	0.0	0.0
public	0.0	0.0	0.014827736	0.0	0.0034203285	0.0	0.0	0.006452349	0.0	0.0
exhibition	0.0	0.0	0.010267814	0.0	0.0	0.0	0.0	0.0	0.0	0.0
held	0.0	0.0	0.006842049	0.0	0.0	0.0	0.0	0.0	0.0	0.0
details	0.0	0.0	0.0059561324	0.0	0.0	0.0	0.0	0.0	0.0	0.0
please	0.0	0.0	0.005849793	0.0	0.008524978	0.0	0.0	0.0	0.0	0.0
opening	0.0	0.0	0.005400902	0.0	0.0	0.0	0.0	0.0	0.0	0.0
environmental	0.0	0.0	0.0053972234	0.0028576404	0.0	0.0	0.0	0.0	0.0	0.0
http	0.0	0.0	0.004770299	0.0	0.004969525	0.0	0.0	0.0	0.0	0.0
participants	0.0	0.0	0.0046987077	0.0	0.0	0.0	0.0	0.0	0.0	0.0
green	0.0	0.0	0.0045607616	0.0	0.0	0.0	0.0	0.0	0.0	0.0
visit	0.0	0.0	0.0043002754	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cultural	0.0	0.0	0.004290064	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free	0.0	0.0	0.0040985695	0.0	0.0	0.0	0.0	0.0	0.0	0.0
art	0.0	0.0	0.0036447193	0.0	0.0	0.0	0.0	0.0	0.0	0.0
organized	0.0	0.0	0.003603938	0.0	0.0	0.0	0.0	0.0	0.0	0.0
time	0.0	0.0	0.0035654572	0.0029774131	0.0028957753	0.0	0.0021786788	0.0026535657	0.0	0.0
share	0.0	0.0	0.0035281787	0.0	0.0	0.0	0.0	0.0	0.0	0.0
series	0.0	0.0	0.0033998925	0.0	0.0	0.0	0.0	0.0	0.0	0.0
culture	0.0	0.0	0.0033731158	0.0	0.0	0.0	0.0	0.0	0.0	0.0
works	0.0	0.0	0.0033434436	0.0	0.0	0.0	0.0	0.0	0.0	0.0
welcome	0.0	0.0	0.0030158423	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pm	0.0	0.0	0.0029499643	0.0	0.0	0.0	0.0	0.0	0.0	0.0
conference	0.0	0.0	0.0029266747	0.0	0.0033304146	0.0	0.0	0.0	0.0	0.0
change	0.0	0.0	0.0028686828	0.0	0.0	0.0	0.0	0.0	0.0	0.0
invited	0.0	0.0	0.0028628826	0.0	0.0	0.0	0.0	0.0	0.0	0.0
collection	0.0	0.0	0.0028423164	0.0	0.0	0.0	0.0	0.0	0.0	0.0
promote	0.0	0.0	0.0028275638	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hku.hk	0.0	0.0	0.002779574	0.0	0.007132994	0.0	0.0	0.0	0.0	0.0
sustainable	0.0	0.0	0.0027772116	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lectures	0.0	0.0	0.0027317663	0.0	0.0	0.0	0.0	0.0	0.0	0.0
enquiries	0.0	0.0	0.0027051908	0.0	0.005873156	0.0	0.0	0.0	0.0	0.0
conservation	0.0	0.0	0.002700718	0.0	0.0	0.0	0.0	0.0	0.0	0.0
history	0.0	0.0	0.0026875504	0.0	0.0	0.0	0.0	0.0	0.0	0.0
project	0.0	0.0	0.0	0.008495664	0.0	0.0	0.0033943178	0.0033318687	0.0	0.0
technology	0.0	0.0	0.0	0.0075007067	0.0	0.0	0.004969645	0.0	0.0	0.0
data	0.0	0.0	0.0	0.0062442855	0.0	0.0023371703	0.0	0.0	0.0	0.0
system	0.0	0.0	0.0	0.0055399355	0.0	0.0	0.008715813	0.0	0.0	0.0
engineering	0.0	0.0	0.0	0.0051148664	0.0	0.0	0.0	0.0	0.0	0.0
space	0.0	0.0	0.0	0.0050595277	0.0	0.0	0.0	0.0	0.0	0.0
energy	0.0	0.0	0.0	0.004703332	0.0	0.0	0.0	0.0	0.0	0.0
developed	0.0	0.0	0.0	0.0044189394	0.0	0.0	0.004088447	0.0	0.0	0.0
applications	0.0	0.0	0.0	0.0040274267	0.0	0.0	0.0	0.0	0.0	0.0
such	0.0	0.0	0.0	0.0039218087	0.0032823451	0.0	0.0048611336	0.003564144	0.0	0.0031549972
systems	0.0	0.0	0.0	0.0038706085	0.0	0.0	0.0	0.0	0.0	0.0
building	0.0	0.0	0.0	0.0037074755	0.0	0.0	0.0	0.0	0.0	0.0
technologies	0.0	0.0	0.0	0.0036353907	0.0	0.0	0.0	0.0	0.0	0.0
urban	0.0	0.0	0.0	0.0036006118	0.0	0.0	0.0	0.0	0.0	0.0
researchers	0.0	0.0	0.0	0.0035069662	0.0	0.0	0.0064683966	0.0	0.0	0.0
safety	0.0	0.0	0.0	0.0031716132	0.0	0.0	0.0	0.0	0.0	0.0
construction	0.0	0.0	0.0	0.0030811527	0.0	0.0	0.0	0.0	0.0	0.0
food	0.0	0.0	0.0	0.0028560404	0.0	0.0	0.0	0.0	0.0	0.0
science	0.0	0.0	0.0	0.0027823308	0.0	0.0	0.0	0.0	0.0	0.0
scientific	0.0	0.0	0.0	0.0027427974	0.0	0.0	0.0	0.0	0.0	0.0
scientists	0.0	0.0	0.0	0.0027181236	0.0	0.0	0.0019495173	0.0	0.0	0.0
areas	0.0	0.0	0.0	0.0026299693	0.0	0.0	0.0	0.0	0.0	0.0
monitoring	0.0	0.0	0.0	0.0026096788	0.0	0.0	0.0	0.0	0.0	0.0
buildings	0.0	0.0	0.0	0.0025796639	0.0	0.0	0.0	0.0	0.0	0.0
natural	0.0	0.0	0.0	0.002569699	0.0	0.0	0.0	0.0	0.0	0.0
using	0.0	0.0	0.0	0.0025574306	0.0	0.0	0.0028781674	0.0	0.0	0.0
water	0.0	0.0	0.0	0.0025376196	0.0	0.0	0.0	0.0	0.0	0.0
environment	0.0	0.0	0.0	0.0025046435	0.0	0.0	0.0	0.0	0.0	0.0
materials	0.0	0.0	0.0	0.002420439	0.0	0.0	0.0018674964	0.0	0.0	0.0
led	0.0	0.0	0.0	0.0023486477	0.0	0.0	0.0019822777	0.0	0.0	0.0
software	0.0	0.0	0.0	0.0023198437	0.0	0.0	0.0	0.0	0.0	0.0
sensing	0.0	0.0	0.0	0.002268246	0.0	0.0	0.0	0.0	0.0	0.0
global	0.0	0.0	0.0	0.0	0.0069319485	0.0	0.0	0.0	0.0	0.0
email	0.0	0.0	0.0	0.0	0.0064906995	0.0	0.0	0.0	0.0	0.0
contact	0.0	0.0	0.0	0.0	0.006364732	0.0	0.0	0.0	0.0	0.0
lecture	0.0	0.0	0.0	0.0	0.0056556836	0.0	0.0	0.0	0.0	0.0
media	0.0	0.0	0.0	0.0	0.005550591	0.0	0.0	0.0	0.0	0.0
tel	0.0	0.0	0.0	0.0	0.005399902	0.0	0.0	0.0	0.0	0.0
issues	0.0	0.0	0.0	0.0	0.0047883997	0.0	0.0	0.0	0.0	0.0
financial	0.0	0.0	0.0	0.0	0.004581384	0.0	0.0	0.0	0.0	0.0
law	0.0	0.0	0.0	0.0	0.004363735	0.0	0.0	0.0	0.0	0.0
economic	0.0	0.0	0.0	0.0	0.0036400016	0.0	0.0	0.0	0.0073582823	0.0
legal	0.0	0.0	0.0	0.0	0.0035099362	0.0	0.0	0.0	0.0	0.0
quality	0.0	0.0	0.0	0.0	0.0033506772	0.0025831545	0.0	0.0	0.0035130684	0.0
faculty	0.0	0.0	0.0	0.0	0.0033291643	0.0	0.0	0.0	0.0	0.0
policy	0.0	0.0	0.0	0.0	0.0032277924	0.0	0.0	0.0	0.0	0.0
universities	0.0	0.0	0.0	0.0	0.0031549546	0.0	0.0	0.0	0.0	0.0
leaders	0.0	0.0	0.0	0.0	0.0031315957	0.0	0.0	0.0	0.0	0.0
countries	0.0	0.0	0.0	0.0	0.002892052	0.0	0.0	0.0	0.0	0.0
region	0.0	0.0	0.0	0.0	0.0026883776	0.0	0.0	0.0	0.0	0.0
future	0.0	0.0	0.0	0.0	0.0026191801	0.0	0.0	0.0	0.0	0.0
employment	0.0	0.0	0.0	0.0	0.0	0.008208729	0.0	0.0	0.0	0.0
cent	0.0	0.0	0.0	0.0	0.0	0.0071565094	0.0	0.0	0.011633291	0.0
job	0.0	0.0	0.0	0.0	0.0	0.006910198	0.0	0.0	0.0	0.0
average	0.0	0.0	0.0	0.0	0.0	0.006762409	0.0	0.0	0.0	0.0
pollution	0.0	0.0	0.0	0.0	0.0	0.0067239734	0.0	0.0	0.0	0.0
respondents	0.0	0.0	0.0	0.0	0.0	0.0066387565	0.0	0.0035290543	0.011265744	0.0
air	0.0	0.0	0.0	0.0	0.0	0.0062233657	0.0	0.0	0.0	0.0
salary	0.0	0.0	0.0	0.0	0.0	0.0056267167	0.0	0.0	0.0	0.0
survey	0.0	0.0	0.0	0.0	0.0	0.00486247	0.0	0.0033558237	0.015083281	0.0
level	0.0	0.0	0.0	0.0	0.0	0.0042816945	0.0	0.0	0.0050019342	0.0
results	0.0	0.0	0.0	0.0	0.0	0.0042460086	0.0	0.0025078712	0.0	0.0031607354
government	0.0	0.0	0.0	0.0	0.0	0.0038556792	0.0	0.0	0.0	0.0
increase	0.0	0.0	0.0	0.0	0.0	0.003822916	0.0	0.0	0.0074411887	0.0
higher	0.0	0.0	0.0	0.0	0.0	0.0034128195	0.0	0.0	0.0	0.0
high	0.0	0.0	0.0	0.0	0.0	0.0032932987	0.0026436872	0.0	0.0	0.00346129
employed	0.0	0.0	0.0	0.0	0.0	0.0031797339	0.0	0.0	0.0	0.0
further	0.0	0.0	0.0	0.0	0.0	0.0030647877	0.0	0.0	0.0	0.0
light	0.0	0.0	0.0	0.0	0.0	0.0030544773	0.0	0.0	0.0	0.0
rate	0.0	0.0	0.0	0.0	0.0	0.0028546157	0.0	0.0	0.012050047	0.0022237238
monthly	0.0	0.0	0.0	0.0	0.0	0.002850517	0.0	0.0	0.0	0.0
number	0.0	0.0	0.0	0.0	0.0	0.0027480354	0.0	0.0	0.0	0.0
jobs	0.0	0.0	0.0	0.0	0.0	0.0026809715	0.0	0.0	0.0	0.0
night	0.0	0.0	0.0	0.0	0.0	0.002660389	0.0	0.0	0.0	0.0
neutrino	0.0	0.0	0.0	0.0	0.0	0.0026126727	0.0	0.0	0.0	0.0
conducted	0.0	0.0	0.0	0.0	0.0	0.0025602712	0.0	0.002318969	0.0036446175	0.0
offers	0.0	0.0	0.0	0.0	0.0	0.0024166203	0.0	0.0	0.0	0.0
full-time	0.0	0.0	0.0	0.0	0.0	0.002405501	0.0	0.0	0.0	0.0
graduate	0.0	0.0	0.0	0.0	0.0	0.0024009128	0.0	0.0	0.0	0.0
sector	0.0	0.0	0.0	0.0	0.0	0.0023945007	0.0	0.0	0.0	0.0
important	0.0	0.0	0.0	0.0	0.0	0.002385172	0.0017980662	0.0	0.0	0.0
table	0.0	0.0	0.0	0.0	0.0	0.0023346008	0.0	0.0	0.0	0.0
sky	0.0	0.0	0.0	0.0	0.0	0.0022932782	0.0	0.0	0.0	0.0
last	0.0	0.0	0.0	0.0	0.0	0.0022608547	0.0	0.0	0.010912969	0.0
levels	0.0	0.0	0.0	0.0	0.0	0.002215567	0.0	0.0	0.0	0.0
total	0.0	0.0	0.0	0.0	0.0	0.0022079633	0.0	0.0	0.0	0.0
camels	0.0	0.0	0.0	0.0	0.0	0.0022055714	0.0	0.0	0.0	0.0
particles	0.0	0.0	0.0	0.0	0.0	0.002168609	0.0	0.0	0.0	0.0
human	0.0	0.0	0.0	0.0	0.0	0.0	0.006319996	0.0	0.0	0.0
cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0055044796	0.0	0.0	0.0
virus	0.0	0.0	0.0	0.0	0.0	0.0	0.0043165125	0.0	0.0	0.0
influenza	0.0	0.0	0.0	0.0	0.0	0.0	0.0042450554	0.0	0.0	0.0
drug	0.0	0.0	0.0	0.0	0.0	0.0	0.0036833787	0.0	0.0	0.0
novel	0.0	0.0	0.0	0.0	0.0	0.0	0.0033062296	0.0	0.0	0.0
products	0.0	0.0	0.0	0.0	0.0	0.0	0.003100821	0.0	0.0	0.0
control	0.0	0.0	0.0	0.0	0.0	0.0	0.0027405915	0.0	0.0	0.0025455419
cell	0.0	0.0	0.0	0.0	0.0	0.0	0.0026869555	0.0	0.0	0.0
process	0.0	0.0	0.0	0.0	0.0	0.0	0.002599289	0.0	0.0	0.0
special	0.0	0.0	0.0	0.0	0.0	0.0	0.00254808	0.0	0.0	0.0
device	0.0	0.0	0.0	0.0	0.0	0.0	0.0023915505	0.0	0.0	0.0
genetic	0.0	0.0	0.0	0.0	0.0	0.0	0.0023144523	0.0	0.0	0.0
production	0.0	0.0	0.0	0.0	0.0	0.0	0.0022790846	0.0	0.0	0.0
cancer	0.0	0.0	0.0	0.0	0.0	0.0	0.002267307	0.0	0.0	0.014810204
method	0.0	0.0	0.0	0.0	0.0	0.0	0.002187915	0.0	0.0	0.0
published	0.0	0.0	0.0	0.0	0.0	0.0	0.002163152	0.0	0.0	0.0
viruses	0.0	0.0	0.0	0.0	0.0	0.0	0.0021504632	0.0	0.0	0.0
myopia	0.0	0.0	0.0	0.0	0.0	0.0	0.002095282	0.0	0.0	0.0
memory	0.0	0.0	0.0	0.0	0.0	0.0	0.001938973	0.0	0.0	0.0
fabric	0.0	0.0	0.0	0.0	0.0	0.0	0.0018515548	0.0	0.0	0.0
eye	0.0	0.0	0.0	0.0	0.0	0.0	0.0018225538	0.0	0.0	0.0
stem	0.0	0.0	0.0	0.0	0.0	0.0	0.0018172541	0.0	0.0	0.0
potential	0.0	0.0	0.0	0.0	0.0	0.0	0.0017952464	0.0	0.0	0.0
treatment	0.0	0.0	0.0	0.0	0.0	0.0	0.0017886367	0.0	0.0	0.0126281865
health	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017399551	0.0	0.002427912
children	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012530144	0.0	0.0
people	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010110387	0.0	0.002397564
care	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090263095	0.0	0.0
elderly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008363191	0.0	0.0
social	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0074077	0.0	0.0
family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061356253	0.0	0.0
life	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060819243	0.0	0.0
parents	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004543789	0.0	0.0
help	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004422896	0.0	0.0
reading	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040339143	0.0	0.0
physical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034231448	0.0	0.0
findings	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033510975	0.0	0.0
problems	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033305797	0.0	0.0
mental	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033291373	0.0	0.0
teachers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003181085	0.0	0.0
group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031381585	0.0	0.0026392215
age	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030768136	0.0	0.0
primary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030119692	0.0	0.0
families	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030088623	0.0	0.0
workers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026581495	0.0	0.0
society	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025753945	0.0	0.0
needs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025627518	0.0	0.0
professionals	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002364988	0.0	0.0
nursing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023243236	0.0	0.0
growth	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017008433	0.0
quarter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010596454	0.0
forecast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009611151	0.0
current	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007539585	0.0
estimated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006658257	0.0
grow	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061935587	0.0
market	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061022923	0.0
real	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060381196	0.0
expected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059421486	0.0
exports	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004971038	0.0
goods	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004891048	0.0
economy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004855068	0.0
overall	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047384272	0.0
retail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004700012	0.0
compared	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044664275	0.0
according	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004425511	0.0
projected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043259677	0.0
confidence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00426156	0.0
index	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041447524	0.0
demand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040631266	0.0
prices	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003951857	0.0
half	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039311643	0.0
percent	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038795182	0.0
second	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038412628	0.0
same	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003839866	0.0
investment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038186712	0.0
spending	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037931353	0.0
released	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037686117	0.0
months	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003725224	0.0
unemployment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035986193	0.0
points	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035490706	0.0
housing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035482855	0.0
whole	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034277127	0.0
performance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003361276	0.0
property	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033091586	0.0
interest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032787342	0.0
consumer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031711701	0.0
patients	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028540982
disease	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009231562
risk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00877895
clinical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006877627
blood	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061488887
liver	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059295883
