	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
exchange	0.0033042294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
professional	0.0032961888	0.0	0.0	0.0	0.0	0.0054670204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
experience	0.0032592325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047852783	0.0	0.0	0.0
undergraduate	0.0032185314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
knowledge	0.003213349	0.0	0.0	0.0	0.0039146906	0.0	0.0	0.0	0.0	0.0	0.004711394	0.0	0.0	0.0	0.0	0.0	0.0043005156	0.0	0.0	0.0
outstanding	0.0031974039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007971507	0.0	0.0	0.0	0.0	0.0	0.0
competition	0.0031427986	0.0	0.0	0.0	0.0	0.0	0.002570756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
studies	0.0030771426	0.0	0.0	0.0027771867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
learning	0.0028501821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014551941	0.0	0.0	0.0
financial	0.0027466998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
staff	0.002734547	0.0	0.0	0.0	0.0	0.009766805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
offered	0.002726894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
support	0.0027246892	0.0	0.0	0.0	0.0051599513	0.035025794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038181767	0.0	0.0
quality	0.002723208	0.0	0.0	0.0	0.005413987	0.0	0.0	0.03476854	0.0	0.0	0.0	0.0027396851	0.0	0.0	0.0031441743	0.0	0.0	0.0	0.0	0.0
offers	0.0026993146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
today	0.0026878016	0.004811212	0.0	0.0	0.0	0.005800808	0.0	0.0	0.0	0.0	0.0037021195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaders	0.0026626315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
please	0.0	0.010422393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
exhibition	0.0	0.00973955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
event	0.0	0.008654415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hku.hk	0.0	0.007878739	0.0031380397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
public	0.0	0.0073492066	0.0	0.0	0.010515767	0.0	0.0	0.005917982	0.0	0.004313134	0.011242321	0.0	0.0	0.0	0.0	0.0	0.0	0.005583684	0.0	0.0
held	0.0	0.00698238	0.0	0.0	0.0	0.003840534	0.0044808052	0.0	0.0	0.0	0.003272543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
email	0.0	0.0067072073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
http	0.0	0.0062388997	0.0024672835	0.0	0.0	0.0	0.0	0.0	0.0	0.0028370528	0.0	0.0	0.002687249	0.0	0.0	0.0	0.0	0.0	0.0	0.0
members	0.0	0.006193709	0.0	0.0	0.0	0.006197243	0.0026272468	0.0	0.0	0.0	0.004322846	0.0	0.0	0.0057723015	0.0	0.0	0.0	0.0	0.0	0.0
chinese	0.0	0.006131953	0.0	0.003397214	0.0	0.0089414	0.0	0.0	0.0	0.0	0.00397394	0.0054280045	0.0	0.013085832	0.0	0.0	0.005924775	0.0	0.0	0.0
enquiries	0.0	0.0060400865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contact	0.0	0.0059614074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0055892207
ceremony	0.0	0.0056919814	0.0	0.0	0.0	0.01904184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
media	0.0	0.005387961	0.0028715339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tel	0.0	0.0053863428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
details	0.0	0.0053478517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030089917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alumni	0.0	0.004960015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
time	0.0	0.004803051	0.0	0.0	0.0	0.0	0.0027865842	0.0	0.0	0.0032858204	0.0	0.0033927842	0.0	0.0	0.0	0.0	0.0	0.003218151	0.0	0.0
campus	0.0	0.004749741	0.0	0.0	0.0	0.007580247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002423326	0.0	0.0	0.0
visit	0.0	0.00464425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cultural	0.0	0.0045229015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
activities	0.0	0.0037718217	0.0	0.0	0.0	0.0030420343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005262362	0.0	0.0	0.0
information	0.0	0.0036909322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007221299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
participants	0.0	0.0036753986	0.0	0.0	0.0040284446	0.0	0.0	0.0	0.0	0.0	0.003576961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
art	0.0	0.0036406303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
website	0.0	0.0036313864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
opening	0.0	0.0036216876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free	0.0	0.0033983174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
culture	0.0	0.0031373359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
works	0.0	0.0030714679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038742714	0.0
pm	0.0	0.0029379209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
series	0.0	0.002925984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
various	0.0	0.0028841314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029748536	0.0	0.0	0.0028088074	0.0	0.0021689523	0.0
history	0.0	0.002851899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
invited	0.0	0.0028515968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arts	0.0	0.0027460407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p.m.	0.0	0.0026930594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
life	0.0	0.0026486407	0.0	0.0	0.009275451	0.0	0.0	0.0126188565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005181154	0.0	0.0	0.0
organized	0.0	0.0025885056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
food	0.0	0.0	0.024258398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
species	0.0	0.0	0.010206124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
data	0.0	0.0	0.007672203	0.0	0.0	0.0	0.0	0.003623287	0.0	0.0	0.0	0.008165193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fish	0.0	0.0	0.0063345395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
marine	0.0	0.0	0.006065953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scientists	0.0	0.0	0.0056568095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040982836	0.0	0.0020796221	0.0	0.0	0.0	0.0	0.0
team	0.0	0.0	0.0055865655	0.0	0.0	0.0030843462	0.013508675	0.0031888068	0.0	0.0	0.0	0.007236357	0.013224976	0.0	0.0	0.0	0.0	0.0	0.0035326986	0.004293151
physics	0.0	0.0	0.004742742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
neutrino	0.0	0.0	0.004703968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
waves	0.0	0.0	0.004249458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spatial	0.0	0.0	0.0041275257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
universe	0.0	0.0	0.0038403922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
neutrinos	0.0	0.0	0.0037881823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
detectors	0.0	0.0	0.0034659205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nuclear	0.0	0.0	0.003288265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trade	0.0	0.0	0.0031911458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
electron	0.0	0.0	0.003140807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
plant	0.0	0.0	0.0031081606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mass	0.0	0.0	0.0030380005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
matter	0.0	0.0	0.0030175208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nutrition	0.0	0.0	0.002992746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
results	0.0	0.0	0.0029640559	0.004166013	0.0	0.0	0.0	0.0035166023	0.0	0.0032685844	0.0	0.0	0.0	0.0	0.0	0.00253895	0.002457674	0.005485543	0.0	0.0027349233
gravitational	0.0	0.0	0.0029333099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
energy	0.0	0.0	0.0028861682	0.0	0.0	0.0	0.0066000624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003374585	0.0
particles	0.0	0.0	0.002867465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
news	0.0	0.0	0.0028375264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
discovery	0.0	0.0	0.0028297815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
plants	0.0	0.0	0.0028206639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
oil	0.0	0.0	0.0027579188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
analysis	0.0	0.0	0.00273747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031248976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
coastal	0.0	0.0	0.0027248515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
understanding	0.0	0.0	0.0027205776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032157216	0.0	0.0	0.0	0.0	0.0	0.0	0.0
important	0.0	0.0	0.0026845832	0.0	0.0	0.0	0.0	0.0	0.0	0.005205619	0.0	0.0	0.004321597	0.0	0.0	0.0	0.0	0.0	0.0	0.0
detector	0.0	0.0	0.0026786777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
agricultural	0.0	0.0	0.0026461184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
biodiversity	0.0	0.0	0.0023069289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
such	0.0	0.0	0.0022303797	0.0039036428	0.0	0.0	0.0024668623	0.0	0.0	0.0	0.0	0.006286974	0.0035382004	0.0	0.0024407874	0.0028909955	0.0029582316	0.0038938504	0.0041059335	0.0040082517
measurement	0.0	0.0	0.0021390254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022600961	0.0	0.0	0.0	0.0	0.0
patients	0.0	0.0	0.0	0.027536066	0.0069452324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025846023	0.0	0.0	0.0	0.012245467
risk	0.0	0.0	0.0	0.013421205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035790487	0.0	0.0	0.0	0.0
treatment	0.0	0.0	0.0	0.011829959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040003876	0.014991821	0.0	0.0	0.0	0.004695885
disease	0.0	0.0	0.0	0.01047253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054123593	0.0	0.0	0.004222018	0.0	0.0	0.0	0.0
diabetes	0.0	0.0	0.0	0.008014475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
blood	0.0	0.0	0.0	0.007958084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068350914	0.0	0.0	0.0	0.0
diseases	0.0	0.0	0.0	0.006911721	0.003695643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054071797	0.0	0.0	0.0	0.0	0.0	0.0	0.0
drug	0.0	0.0	0.0	0.0064659473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017932798	0.0	0.0	0.0	0.004609588	0.0
heart	0.0	0.0	0.0	0.006404198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clinical	0.0	0.0	0.0	0.0060496405	0.0	0.0030435994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0077307294	0.0	0.0	0.0	0.0
children	0.0	0.0	0.0	0.005118435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011528583	0.0	0.0	0.009927319
factors	0.0	0.0	0.0	0.004733098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
high	0.0	0.0	0.0	0.0042747078	0.0	0.0	0.0022683567	0.0	0.0	0.006061027	0.0	0.0	0.0	0.0	0.0025901222	0.00435579	0.0	0.0	0.0	0.0027998097
body	0.0	0.0	0.0	0.00405754	0.0	0.0	0.0022460732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
drugs	0.0	0.0	0.0	0.003901468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
subjects	0.0	0.0	0.0	0.003887282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005228454	0.0	0.0	0.0
severe	0.0	0.0	0.0	0.003876648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
early	0.0	0.0	0.0	0.0038229064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054677143	0.0	0.0	0.0	0.0
common	0.0	0.0	0.0	0.0037951698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032179605	0.0	0.0	0.0	0.0
age	0.0	0.0	0.0	0.0036956985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030020534	0.0	0.0
symptoms	0.0	0.0	0.0	0.0036897657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025094526
control	0.0	0.0	0.0	0.003636519	0.0	0.0	0.003593507	0.0	0.0	0.0	0.0	0.00304768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
associated	0.0	0.0	0.0	0.0035334239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
medical	0.0	0.0	0.0	0.0034466686	0.00955718	0.005334733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026607967
cardiovascular	0.0	0.0	0.0	0.003412532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
failure	0.0	0.0	0.0	0.0032685355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group	0.0	0.0	0.0	0.0031740987	0.0038512836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
